p,atr_p,mult,supertrend_atr,supertrend_factor,atrnowinput,atrAvginput,volatilityMultiplier,bodyratioMult,structureLookback,bufferMult,maxSlDistance,isStrongTrendMult
9,3,0.51,5,1.5,3,8,0.92,0.84,24,0.54,6.82,13
10,5,0.49,7,1.93,2,9,0.91,0.84,23,0.88,90.98,18
8,5,0.53,7,1.79,4,11,0.76,0.69,25,0.82,100.52,9
7,5,0.48,7,1.91,4,14,0.9,0.61,31,1.15,52.92,16
10,5,0.44,5,1.3,4,11,0.72,0.79,28,0.97,19.33,10
10,3,0.31,4,1.63,3,12,0.59,0.76,31,0.85,94.01,12
8,5,0.58,4,1.95,2,8,0.71,0.66,34,0.44,89.32,19
6,4,0.59,5,1.49,4,12,0.61,0.8,24,1.02,84.13,12
8,3,0.32,5,1.83,3,13,0.79,0.73,33,0.69,61.42,17
9,3,0.59,5,1.5,2,13,0.58,0.6,22,0.92,39.93,11
7,3,0.35,4,1.31,2,10,0.92,0.81,20,1.03,28.93,15
10,6,0.44,6,1.38,4,12,0.72,0.68,32,0.87,115.21,18
8,5,0.44,4,1.22,4,8,0.61,0.72,26,0.66,54.03,11
7,3,0.36,5,1.93,3,8,0.65,0.59,22,0.79,83.3,9
10,5,0.39,4,1.69,2,10,0.74,0.72,25,0.46,51.28,16
10,3,0.51,4,1.81,2,8,0.79,0.71,24,0.35,15.65,11
7,5,0.39,5,1.77,4,12,0.78,0.9,21,0.33,34.91,13
8,5,0.25,4,1.77,3,9,0.58,0.89,27,0.97,64.59,11
10,3,0.4,4,1.58,4,11,0.6,0.59,32,1.08,26.34,13
10,6,0.36,7,1.92,4,9,0.95,0.8,26,0.36,35.37,13
9,5,0.27,5,1.55,4,10,0.95,0.79,33,0.6,72.69,17
7,3,0.27,4,1.59,2,13,0.73,0.85,27,0.32,56.86,19
6,4,0.37,6,1.6,4,9,0.74,0.8,20,0.39,99.83,19
6,5,0.36,6,1.71,2,8,0.94,0.89,23,0.68,85.86,15
10,4,0.55,5,1.49,3,14,0.72,0.86,24,1.04,60.97,10
10,4,0.48,7,1.88,3,8,0.58,0.7,21,0.91,26.29,19
9,4,0.51,4,1.86,2,14,0.78,0.7,28,0.78,65.92,10
9,6,0.29,6,1.81,3,9,0.77,0.73,21,0.46,95.85,9
10,4,0.46,5,1.2,3,9,0.98,0.75,22,0.81,55.22,16
8,3,0.47,6,1.43,3,9,0.9,0.66,20,0.52,8.96,13
10,4,0.27,6,1.22,4,11,0.53,0.55,34,0.8,80.08,11
10,3,0.42,5,1.57,2,13,0.51,0.86,24,0.94,21.64,12
8,3,0.46,4,1.86,2,9,0.99,0.75,23,0.93,26.79,11
6,6,0.46,5,1.94,2,12,0.62,0.62,23,1.06,7.79,9
6,5,0.29,4,1.72,4,9,0.95,0.57,33,1.13,71.9,13
9,6,0.57,7,1.96,3,10,0.88,0.8,20,0.65,69.52,17
10,6,0.38,4,1.68,3,14,0.64,0.65,32,0.32,16.28,9
8,6,0.38,6,1.8,3,8,0.7,0.81,25,0.53,44.13,10
7,4,0.49,5,1.24,2,12,0.88,0.77,26,1.04,70.9,14
6,5,0.54,4,1.66,4,9,0.94,0.72,26,0.39,107.27,17
9,4,0.5,4,1.58,3,10,0.97,0.74,26,1.03,97.7,11
9,6,0.26,6,1.23,2,9,0.63,0.7,34,0.82,14.82,10
9,5,0.35,6,1.93,3,11,0.81,0.7,29,0.89,48.85,19
6,3,0.48,6,1.61,4,13,0.75,0.6,27,0.99,65.39,17
9,5,0.55,4,1.38,2,10,0.72,0.55,27,0.51,41.75,16
8,5,0.55,7,1.98,2,9,0.75,0.57,23,0.89,12.93,16
8,6,0.35,4,1.29,3,11,0.6,0.72,30,0.53,46.14,15
8,4,0.56,4,1.38,2,11,0.75,0.82,32,0.53,57.69,15
9,4,0.44,6,1.52,2,10,0.65,0.8,20,1.18,86.97,10
9,6,0.43,4,1.36,2,14,0.55,0.7,28,0.92,55.58,19
7,6,0.29,5,1.96,4,9,0.51,0.84,21,0.96,7.97,16
7,5,0.27,5,1.66,4,11,0.93,0.7,20,0.62,9.36,13
9,4,0.6,5,1.78,4,14,0.86,0.66,20,0.35,48.16,18
7,3,0.37,7,1.62,4,13,0.55,0.87,31,0.69,32.33,9
6,6,0.34,7,1.31,4,8,0.85,0.59,20,1.16,82.59,16
8,5,0.31,4,1.59,4,8,0.56,0.69,28,0.69,25.48,15
6,4,0.58,7,1.29,3,9,0.83,0.68,34,0.31,52.77,9
9,6,0.44,5,1.7,3,14,0.64,0.67,23,0.86,77.0,16
9,5,0.44,6,1.58,3,9,0.72,0.84,28,0.31,12.58,9
7,3,0.31,5,1.88,4,9,0.62,0.8,31,0.75,5.79,10
10,3,0.49,7,1.29,2,11,0.85,0.87,23,0.86,32.15,18
9,5,0.49,7,1.47,3,10,0.61,0.63,30,0.76,92.65,12
9,5,0.41,5,1.26,3,14,0.73,0.56,29,0.89,118.28,15
9,3,0.42,4,1.88,4,14,0.83,0.69,22,0.48,29.69,9
7,5,0.5,6,1.94,3,9,0.63,0.56,21,1.05,55.42,9
6,5,0.45,5,1.71,4,8,0.83,0.71,32,0.74,106.19,19
9,6,0.54,7,1.83,2,11,0.69,0.8,21,1.08,64.29,13
7,4,0.54,7,1.68,3,9,0.91,0.7,23,0.6,78.94,14
6,6,0.32,5,1.38,2,14,0.67,0.58,32,0.94,85.93,17
9,6,0.47,5,1.3,2,9,0.97,0.73,22,0.67,117.73,11
8,4,0.5,4,1.43,3,8,0.55,0.69,21,1.0,92.97,14
7,4,0.32,7,1.67,4,9,0.89,0.66,26,1.04,8.51,18
7,3,0.57,6,1.36,4,14,0.71,0.61,20,0.78,103.88,18
7,3,0.47,5,1.63,2,12,0.84,0.87,22,0.53,59.31,11
8,6,0.5,5,1.49,4,10,0.63,0.59,32,1.1,19.47,19
9,4,0.5,4,1.87,3,12,0.54,0.79,23,0.43,7.81,10
10,6,0.45,4,1.93,2,10,0.69,0.9,25,1.11,103.4,10
10,4,0.43,5,1.5,4,10,0.98,0.76,32,0.39,106.74,15
6,4,0.49,6,1.75,3,13,0.97,0.61,31,0.83,95.45,10
6,3,0.28,4,1.72,4,10,0.95,0.72,32,0.6,40.45,12
9,6,0.43,6,1.56,4,12,0.77,0.72,31,0.85,81.36,13
6,6,0.35,5,1.97,3,8,0.66,0.81,29,0.55,81.95,19
8,3,0.29,6,1.58,4,10,0.7,0.64,20,0.5,84.52,18
10,4,0.57,5,1.72,4,10,0.66,0.83,25,0.79,60.4,16
9,4,0.3,5,1.71,4,12,0.94,0.8,23,1.18,101.51,12
8,5,0.49,6,1.31,4,13,0.89,0.61,20,1.04,31.46,13
8,4,0.43,6,1.34,3,10,0.61,0.8,20,0.45,117.04,19
8,6,0.41,5,1.34,2,8,0.62,0.76,34,1.2,17.09,16
10,3,0.59,6,1.32,3,12,0.57,0.66,24,0.72,38.09,16
8,3,0.37,4,1.92,4,11,0.97,0.81,33,1.03,27.97,14
6,5,0.43,5,1.44,2,9,0.84,0.84,30,0.48,14.83,16
7,3,0.32,7,1.37,3,11,0.92,0.81,31,1.17,59.04,10
9,3,0.49,4,1.4,4,9,0.57,0.66,21,0.39,51.82,16
7,5,0.42,4,1.35,2,13,0.89,0.68,24,0.96,106.3,15
7,5,0.35,5,1.37,2,14,0.91,0.67,23,0.4,15.15,14
7,5,0.43,5,1.94,4,11,0.59,0.83,32,0.68,66.72,16
9,5,0.53,4,1.94,4,13,0.89,0.79,26,0.74,49.65,15
7,6,0.54,5,1.58,2,14,0.68,0.83,32,0.99,17.6,13
8,6,0.49,4,1.63,4,9,0.82,0.57,21,0.54,84.28,16
7,5,0.53,7,1.44,4,8,1.0,0.8,34,0.81,111.96,12
10,4,0.41,7,1.72,4,10,0.79,0.6,33,0.39,74.78,16
6,4,0.56,7,1.37,3,8,0.68,0.61,29,1.07,63.69,15
9,5,0.57,4,1.62,4,10,0.77,0.72,26,0.73,101.33,10
7,5,0.51,4,1.44,4,14,0.81,0.75,24,0.38,22.78,9
8,6,0.39,7,1.3,2,14,0.89,0.57,23,0.85,61.53,18
9,6,0.48,5,1.28,4,8,0.78,0.66,33,0.46,60.57,14
8,4,0.3,4,1.82,4,12,0.79,0.58,33,0.81,49.35,14
6,4,0.47,7,1.97,4,14,0.77,0.7,27,1.0,115.4,9
9,5,0.59,4,1.76,2,12,0.69,0.85,27,0.44,16.38,12
9,4,0.34,6,1.9,3,11,0.72,0.83,29,1.16,36.13,16
9,6,0.55,7,1.67,4,10,0.64,0.83,21,0.58,42.18,19
9,6,0.4,4,1.22,4,8,0.56,0.56,22,0.95,31.25,17
9,4,0.47,6,1.85,4,10,0.96,0.86,33,1.03,85.0,10
