p,atr_p,mult,supertrend_atr,supertrend_factor,atrnowinput,atrAvginput,volatilityMultiplier,bodyratioMult,structureLookback,bufferMult,maxSlDistance,isStrongTrendMult
9,3,0.39,7,1.29,2,8,0.87,0.57,29,0.72,78.18,19
7,3,0.5,5,1.51,3,14,0.98,0.57,26,0.39,54.33,11
9,3,0.4,4,1.51,3,12,0.73,0.82,31,0.68,86.96,14
7,5,0.52,7,1.72,3,12,0.79,0.77,30,0.6,110.44,14
6,6,0.48,5,1.35,2,13,0.97,0.58,33,0.84,55.29,10
10,4,0.52,7,1.79,2,10,0.94,0.61,29,0.89,68.67,15
6,5,0.47,4,1.83,4,9,0.96,0.58,24,0.48,55.21,13
10,5,0.33,5,1.71,3,8,0.73,0.59,29,1.09,68.1,9
10,5,0.59,7,1.67,3,8,0.71,0.64,31,0.48,47.94,13
6,4,0.27,5,1.41,2,8,0.86,0.87,28,0.57,115.21,14
10,3,0.53,5,1.49,3,10,0.88,0.79,25,0.31,80.02,13
6,3,0.6,5,1.94,2,10,0.71,0.57,29,0.48,71.12,12
7,4,0.35,4,1.47,4,10,0.92,0.56,28,0.99,110.41,15
9,5,0.26,7,1.82,4,8,0.63,0.7,26,0.53,93.0,14
8,6,0.49,5,1.83,4,9,0.75,0.69,28,1.12,92.58,9
6,5,0.46,6,1.87,4,11,0.84,0.66,34,0.63,79.68,13
9,4,0.46,6,1.68,2,14,0.96,0.67,30,0.37,93.22,9
9,3,0.59,5,1.47,3,11,0.79,0.9,26,0.61,47.36,11
9,5,0.4,6,1.64,3,12,0.89,0.8,33,0.88,94.54,16
8,5,0.37,6,1.3,3,11,0.7,0.81,27,0.76,30.55,18
10,6,0.52,7,1.59,3,13,0.88,0.88,20,0.76,38.21,18
6,5,0.4,7,1.93,4,10,0.99,0.57,20,0.64,36.06,10
7,5,0.6,4,1.26,4,8,0.51,0.87,30,0.35,33.86,11
9,5,0.28,4,1.7,3,14,0.86,0.77,33,0.97,50.08,9
8,3,0.57,5,1.46,4,10,0.81,0.71,32,0.38,61.07,13
10,3,0.58,5,1.33,2,9,0.79,0.8,22,1.04,97.74,13
9,5,0.45,7,1.3,2,12,0.72,0.73,26,0.78,111.2,11
6,4,0.56,4,1.67,2,9,0.54,0.79,25,1.08,63.88,9
7,5,0.5,6,1.97,4,8,0.6,0.6,28,0.39,24.69,12
7,6,0.5,5,1.49,3,12,0.93,0.56,23,0.86,29.54,12
6,5,0.52,6,1.33,3,9,0.83,0.58,20,0.9,88.58,14
10,3,0.46,7,1.72,4,10,0.51,0.76,23,0.97,47.63,18
9,5,0.45,6,1.49,4,14,0.6,0.9,23,1.15,14.97,13
